Episode 280: Avg Reward = 92.42, Success Rate = 1.00
Episode 281: Avg Reward = 87.67, Success Rate = 1.00
Episode 282: Avg Reward = 117.23, Success Rate = 1.00
Episode 283: Avg Reward = 453.29, Success Rate = 1.00
Episode 284: Avg Reward = 92.42, Success Rate = 1.00
Episode 285: Avg Reward = 87.67, Success Rate = 1.00
Episode 286: Avg Reward = 117.23, Success Rate = 1.00
Episode 287: Avg Reward = 453.29, Success Rate = 1.00
Episode 288: Avg Reward = 92.42, Success Rate = 1.00
Episode 289: Avg Reward = 87.67, Success Rate = 1.00
Episode 290: Avg Reward = 117.23, Success Rate = 1.00
Episode 291: Avg Reward = 453.29, Success Rate = 1.00
Episode 292: Avg Reward = 92.42, Success Rate = 1.00
Episode 293: Avg Reward = 87.67, Success Rate = 1.00
Episode 294: Avg Reward = 117.23, Success Rate = 1.00
Episode 295: Avg Reward = 453.29, Success Rate = 1.00
Episode 296: Avg Reward = 92.42, Success Rate = 1.00
Episode 297: Avg Reward = 87.67, Success Rate = 1.00
Episode 298: Avg Reward = 117.23, Success Rate = 1.00
Episode 299: Avg Reward = 453.29, Success Rate = 1.00
Episode 300: Avg Reward = 92.42, Success Rate = 1.00
Episode 301: Avg Reward = 87.67, Success Rate = 1.00
Episode 302: Avg Reward = 117.23, Success Rate = 1.00
Episode 303: Avg Reward = 453.29, Success Rate = 1.00
Episode 304: Avg Reward = 92.42, Success Rate = 1.00
Episode 305: Avg Reward = 87.67, Success Rate = 1.00
Episode 306: Avg Reward = 117.23, Success Rate = 1.00
Episode 307: Avg Reward = 453.29, Success Rate = 1.00
Episode 308: Avg Reward = 92.42, Success Rate = 1.00
Episode 309: Avg Reward = 87.67, Success Rate = 1.00
Episode 310: Avg Reward = 117.23, Success Rate = 1.00
Episode 311: Avg Reward = 453.29, Success Rate = 1.00
Episode 312: Avg Reward = 92.42, Success Rate = 1.00
Episode 313: Avg Reward = 87.67, Success Rate = 1.00
Episode 314: Avg Reward = 117.23, Success Rate = 1.00
Episode 315: Avg Reward = 453.29, Success Rate = 1.00
Episode 316: Avg Reward = 92.42, Success Rate = 1.00
Episode 317: Avg Reward = 87.67, Success Rate = 1.00
Episode 318: Avg Reward = 117.23, Success Rate = 1.00
Episode 319: Avg Reward = 453.29, Success Rate = 1.00
Episode 320: Avg Reward = 92.42, Success Rate = 1.00
Episode 321: Avg Reward = 87.67, Success Rate = 1.00
Episode 322: Avg Reward = 117.23, Success Rate = 1.00
Episode 323: Avg Reward = 453.29, Success Rate = 1.00
Episode 324: Avg Reward = 92.42, Success Rate = 1.00
Episode 325: Avg Reward = 87.67, Success Rate = 1.00
Episode 326: Avg Reward = 117.23, Success Rate = 1.00
Episode 327: Avg Reward = 453.29, Success Rate = 1.00
Episode 328: Avg Reward = 92.42, Success Rate = 1.00
Episode 329: Avg Reward = 87.67, Success Rate = 1.00
Episode 330: Avg Reward = 117.23, Success Rate = 1.00
Episode 331: Avg Reward = 453.29, Success Rate = 1.00
Episode 332: Avg Reward = 92.42, Success Rate = 1.00
Episode 333: Avg Reward = 87.67, Success Rate = 1.00
Episode 334: Avg Reward = 117.23, Success Rate = 1.00
Episode 335: Avg Reward = 453.29, Success Rate = 1.00
Episode 336: Avg Reward = 92.42, Success Rate = 1.00
Episode 337: Avg Reward = 87.67, Success Rate = 1.00
Episode 338: Avg Reward = 117.23, Success Rate = 1.00
Episode 339: Avg Reward = 453.29, Success Rate = 1.00
Episode 340: Avg Reward = 92.42, Success Rate = 1.00
Episode 341: Avg Reward = 87.67, Success Rate = 1.00
Episode 342: Avg Reward = 117.23, Success Rate = 1.00
Episode 343: Avg Reward = 453.29, Success Rate = 1.00
Episode 344: Avg Reward = 92.42, Success Rate = 1.00
Episode 345: Avg Reward = 87.67, Success Rate = 1.00
Episode 346: Avg Reward = 117.23, Success Rate = 1.00
Episode 347: Avg Reward = 453.29, Success Rate = 1.00
Episode 348: Avg Reward = 92.42, Success Rate = 1.00
Episode 349: Avg Reward = 87.67, Success Rate = 1.00
Episode 350: Avg Reward = 117.23, Success Rate = 1.00
Episode 351: Avg Reward = 453.29, Success Rate = 1.00
Episode 352: Avg Reward = 92.42, Success Rate = 1.00
Episode 353: Avg Reward = 87.67, Success Rate = 1.00
Episode 354: Avg Reward = 117.23, Success Rate = 1.00
Episode 355: Avg Reward = 453.29, Success Rate = 1.00
Episode 356: Avg Reward = 92.42, Success Rate = 1.00
Episode 357: Avg Reward = 87.67, Success Rate = 1.00
Episode 358: Avg Reward = 117.23, Success Rate = 1.00
Episode 359: Avg Reward = 453.29, Success Rate = 1.00
Episode 360: Avg Reward = 92.42, Success Rate = 1.00
Episode 361: Avg Reward = 87.67, Success Rate = 1.00
Episode 362: Avg Reward = 117.23, Success Rate = 1.00
